11/25/2025 2:02:03 PM.2390000  61.77203  0x400c0
11/25/2025 2:02:04 PM.2510000  62.014191  0x400c0
11/25/2025 2:02:05 PM.2380000  61.77203  0x400c0
11/25/2025 2:02:07 PM.2440000  61.77203  0x100400c0
11/25/2025 2:02:08 PM.2500000  62.256351  0x400c0
11/25/2025 9:15:30 AM.1230000  45.32100  0x400c0
11/25/2025 9:15:31 AM.4560000  45.55200  0x400c0
11/25/2025 12:00:00 PM.0000000  50.00000  0x400c0
11/26/2025 8:30:15 AM.7890000  72.12345  0x400c0
11/26/2025 11:45:59 AM.9990000  73.98765  0x100400c0
